date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:47:15	46686/46686	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:15%20GMT	https://dynamex.az/az/news-content/yay-endirimlari-uzarina-0-komissiya-189	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/news-content/yay-endirimlari-uzarina-0-komissiya-189.html	(from https://dynamex.az/)
05:47:15	556854/556854	---M--	200	added ('OK')	image/png	etag:%2262e292e2-87f36%22	https://dynamex.az/frontend/web/uploads//images/new/21122.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/new/21122.png	(from https://dynamex.az/)
05:47:15	40150/40150	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:16%20GMT	https://dynamex.az/az/news-content/yay-aylarinda-28-may-filialimizin-ish-saatlarini-artirdiq-188	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/news-content/yay-aylarinda-28-may-filialimizin-ish-saatlarini-artirdiq-188.html	(from https://dynamex.az/)
05:47:15	81936/81936	---M--	200	added ('OK')	image/jpeg	etag:%2262d3eefb-14010%22	https://dynamex.az/frontend/web/uploads//images/new/photo5375300890233257041y.jpg	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/new/photo5375300890233257041y.jpg	(from https://dynamex.az/)
05:47:16	360197/360197	---M--	200	added ('OK')	image/png	etag:%2262bb0699-57f05%22	https://dynamex.az/frontend/web/uploads//images/new/memar-ecemi-tehvil-mentegesi.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/new/memar-ecemi-tehvil-mentegesi.png	(from https://dynamex.az/)
05:47:16	43155/43155	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:16%20GMT	https://dynamex.az/az/news-content/yay-geyimlarina-hech-gozlamadiyiniz-fursat-taklifi-183	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/news-content/yay-geyimlarina-hech-gozlamadiyiniz-fursat-taklifi-183.html	(from https://dynamex.az/)
05:47:16	664559/664559	---M--	200	added ('OK')	image/png	etag:%2262b1cad7-a23ef%22	https://dynamex.az/frontend/web/uploads//images/new/coversaytnew-12.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/new/coversaytnew-12.png	(from https://dynamex.az/)
05:47:16	11442/11442	---M--	200	added ('OK')	image/png	etag:%2262581bb7-2cb2%22	https://dynamex.az/frontend/web/uploads//images/trendyol-2.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/trendyol-2.png	(from https://dynamex.az/)
05:47:17	11770/11770	---M--	200	added ('OK')	image/png	etag:%2262581b78-2dfa%22	https://dynamex.az/frontend/web/uploads//images/defacto-logo-removebg-preview-min.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/defacto-logo-removebg-preview-min.png	(from https://dynamex.az/)
05:47:17	4828/4828	---M--	200	added ('OK')	image/png	etag:%2262581bd7-12dc%22	https://dynamex.az/frontend/web/uploads//images/store/mlogo4.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/store/mlogo4.png	(from https://dynamex.az/)
